"","date","category","content"
"66",2018-01-02 09:40:00,"A","Debug"
"67",2018-01-02 10:00:00,"B","Attach"
"68",2018-01-02 10:20:00,"A","Warn"
"69",2018-01-02 10:40:00,"C","No clue"
"70",2018-01-02 11:00:00,"A","No clue"
"71",2018-01-02 11:20:00,"A","Warn"
"72",2018-01-02 11:40:00,"A","Warn"
"73",2018-01-02 12:00:00,"B","Check with author"
"74",2018-01-02 12:20:00,"B","Attach"
"75",2018-01-02 12:40:00,"C","Debug"
"76",2018-01-02 13:00:00,"A","Check with author"
"77",2018-01-02 13:20:00,"B","Attach"
"78",2018-01-02 13:40:00,"A","No clue"
"79",2018-01-02 14:00:00,"C","Attach"
"80",2018-01-02 14:20:00,"B","Check with author"
"81",2018-01-02 14:40:00,"A","Warn"
"82",2018-01-02 15:00:00,"B","Check with author"
"83",2018-01-02 15:20:00,"B","Attach"
"84",2018-01-02 15:40:00,"B","Attach"
"85",2018-01-02 16:00:00,"B","Warn"
"86",2018-01-02 16:20:00,"B","Debug"
"87",2018-01-02 16:40:00,"C","Attach"
"88",2018-01-02 17:00:00,"A","Limit"
"89",2018-01-02 17:20:00,"C","Warn"
"90",2018-01-02 17:40:00,"A","Warn"
"91",2018-01-02 18:00:00,"A","Check with author"
"92",2018-01-02 18:20:00,"B","Limit"
"93",2018-01-02 18:40:00,"B","No clue"
"94",2018-01-02 19:00:00,"B","Debug"
"95",2018-01-02 19:20:00,"A","Attach"
"96",2018-01-02 19:40:00,"C","Warn"
"97",2018-01-02 20:00:00,"C","Attach"
"98",2018-01-02 20:20:00,"A","Attach"
"99",2018-01-02 20:40:00,"A","Limit"
"100",2018-01-02 21:00:00,"C","Error"
"101",2018-01-02 21:20:00,"A","Check with author"
"102",2018-01-02 21:40:00,"C","No clue"
"103",2018-01-02 22:00:00,"C","Warn"
"104",2018-01-02 22:20:00,"A","No clue"
"105",2018-01-02 22:40:00,"A","Error"
"106",2018-01-02 23:00:00,"C","Limit"
"107",2018-01-02 23:20:00,"A","Warn"
"108",2018-01-02 23:40:00,"B","Check with author"
"109",2018-01-03 00:00:00,"C","No clue"
"110",2018-01-03 00:20:00,"C","No clue"
"111",2018-01-03 00:40:00,"A","Warn"
"112",2018-01-03 01:00:00,"A","Debug"
"113",2018-01-03 01:20:00,"B","Check with author"
"114",2018-01-03 01:40:00,"B","Attach"
"115",2018-01-03 02:00:00,"A","Warn"
"116",2018-01-03 02:20:00,"C","No clue"
"117",2018-01-03 02:40:00,"B","No clue"
"118",2018-01-03 03:00:00,"B","Warn"
"119",2018-01-03 03:20:00,"B","Check with author"
"120",2018-01-03 03:40:00,"A","Limit"
"121",2018-01-03 04:00:00,"A","Error"
"122",2018-01-03 04:20:00,"A","Debug"
"123",2018-01-03 04:40:00,"B","Debug"
"124",2018-01-03 05:00:00,"A","Attach"
"125",2018-01-03 05:20:00,"A","Check with author"
"126",2018-01-03 05:40:00,"B","Check with author"
"127",2018-01-03 06:00:00,"A","Debug"
"128",2018-01-03 06:20:00,"C","No clue"
"129",2018-01-03 06:40:00,"C","Check with author"
"130",2018-01-03 07:00:00,"B","Error"
"131",2018-01-03 07:20:00,"A","Check with author"
"132",2018-01-03 07:40:00,"A","Check with author"
"133",2018-01-03 08:00:00,"B","Limit"
"134",2018-01-03 08:20:00,"A","Attach"
"135",2018-01-03 08:40:00,"C","Check with author"
"136",2018-01-03 09:00:00,"A","Check with author"
"137",2018-01-03 09:20:00,"A","Error"
"138",2018-01-03 09:40:00,"A","Warn"
"139",2018-01-03 10:00:00,"C","Attach"
"140",2018-01-03 10:20:00,"C","Limit"
"141",2018-01-03 10:40:00,"C","Error"
"142",2018-01-03 11:00:00,"B","Warn"
"143",2018-01-03 11:20:00,"B","No clue"
"144",2018-01-03 11:40:00,"C","No clue"
"145",2018-01-03 12:00:00,"C","Debug"
"146",2018-01-03 12:20:00,"B","Check with author"
"147",2018-01-03 12:40:00,"B","Check with author"
"148",2018-01-03 13:00:00,"A","Check with author"
"149",2018-01-03 13:20:00,"A","Check with author"
"150",2018-01-03 13:40:00,"A","Error"
"151",2018-01-03 14:00:00,"A","Error"
"152",2018-01-03 14:20:00,"A","No clue"
"153",2018-01-03 14:40:00,"A","No clue"
"154",2018-01-03 15:00:00,"B","Limit"
"155",2018-01-03 15:20:00,"C","Debug"
"156",2018-01-03 15:40:00,"C","Check with author"
"157",2018-01-03 16:00:00,"A","Debug"
"158",2018-01-03 16:20:00,"B","Warn"
"159",2018-01-03 16:40:00,"B","Error"
"160",2018-01-03 17:00:00,"A","Limit"
"161",2018-01-03 17:20:00,"C","Error"
"162",2018-01-03 17:40:00,"B","Attach"
"163",2018-01-03 18:00:00,"C","Limit"
"164",2018-01-03 18:20:00,"A","Warn"
"165",2018-01-03 18:40:00,"A","Check with author"
"166",2018-01-03 19:00:00,"A","No clue"
"167",2018-01-03 19:20:00,"B","Error"
"168",2018-01-03 19:40:00,"A","Warn"
"169",2018-01-03 20:00:00,"A","Warn"
"170",2018-01-03 20:20:00,"B","Debug"
"171",2018-01-03 20:40:00,"A","Attach"
"172",2018-01-03 21:00:00,"C","Debug"
"173",2018-01-03 21:20:00,"A","Warn"
"174",2018-01-03 21:40:00,"B","Error"
"175",2018-01-03 22:00:00,"C","Error"
"176",2018-01-03 22:20:00,"C","Attach"
"177",2018-01-03 22:40:00,"B","Attach"
"178",2018-01-03 23:00:00,"C","Check with author"
"179",2018-01-03 23:20:00,"B","Debug"
"180",2018-01-03 23:40:00,"C","Warn"
"181",2018-01-04 00:00:00,"A","Check with author"
"182",2018-01-04 00:20:00,"A","Error"
"183",2018-01-04 00:40:00,"A","No clue"
"184",2018-01-04 01:00:00,"A","Attach"
"185",2018-01-04 01:20:00,"B","Limit"
"186",2018-01-04 01:40:00,"A","Check with author"
"187",2018-01-04 02:00:00,"B","Debug"
"188",2018-01-04 02:20:00,"B","Warn"
"189",2018-01-04 02:40:00,"B","Warn"
"190",2018-01-04 03:00:00,"A","Error"
"191",2018-01-04 03:20:00,"C","Check with author"
"192",2018-01-04 03:40:00,"B","Attach"
"193",2018-01-04 04:00:00,"B","Debug"
"194",2018-01-04 04:20:00,"C","Debug"
"195",2018-01-04 04:40:00,"C","Debug"
"196",2018-01-04 05:00:00,"C","Debug"
"197",2018-01-04 05:20:00,"A","Warn"
"198",2018-01-04 05:40:00,"A","Attach"
"199",2018-01-04 06:00:00,"B","No clue"
"200",2018-01-04 06:20:00,"C","Error"
"201",2018-01-04 06:40:00,"B","No clue"
"202",2018-01-04 07:00:00,"A","Debug"
"203",2018-01-04 07:20:00,"C","Check with author"
"204",2018-01-04 07:40:00,"C","Limit"
"205",2018-01-04 08:00:00,"B","Debug"
"206",2018-01-04 08:20:00,"C","Error"
"207",2018-01-04 08:40:00,"C","No clue"
"208",2018-01-04 09:00:00,"A","Warn"
"209",2018-01-04 09:20:00,"C","Debug"
"210",2018-01-04 09:40:00,"A","Limit"
"211",2018-01-04 10:00:00,"C","Error"
"212",2018-01-04 10:20:00,"A","Warn"
"213",2018-01-04 10:40:00,"C","Limit"
"214",2018-01-04 11:00:00,"A","Check with author"
"215",2018-01-04 11:20:00,"A","Debug"
"216",2018-01-04 11:40:00,"B","No clue"
"217",2018-01-04 12:00:00,"B","Error"
"218",2018-01-04 12:20:00,"A","Error"
"219",2018-01-04 12:40:00,"B","Warn"
"220",2018-01-04 13:00:00,"B","Check with author"
"221",2018-01-04 13:20:00,"B","No clue"
"222",2018-01-04 13:40:00,"B","Check with author"
"223",2018-01-04 14:00:00,"B","Limit"
"224",2018-01-04 14:20:00,"C","No clue"
"225",2018-01-04 14:40:00,"B","No clue"
"226",2018-01-04 15:00:00,"A","Check with author"
"227",2018-01-04 15:20:00,"A","Attach"
"228",2018-01-04 15:40:00,"C","Attach"
"229",2018-01-04 16:00:00,"B","Check with author"
"230",2018-01-04 16:20:00,"B","Attach"
"231",2018-01-04 16:40:00,"B","Error"
"232",2018-01-04 17:00:00,"B","No clue"
"233",2018-01-04 17:20:00,"B","Limit"
"234",2018-01-04 17:40:00,"B","Error"
"235",2018-01-04 18:00:00,"B","Error"
"236",2018-01-04 18:20:00,"C","Warn"
"237",2018-01-04 18:40:00,"C","Limit"
"238",2018-01-04 19:00:00,"C","Warn"
"239",2018-01-04 19:20:00,"B","Check with author"
"240",2018-01-04 19:40:00,"B","Debug"
"241",2018-01-04 20:00:00,"A","Limit"
"242",2018-01-04 20:20:00,"A","Error"
"243",2018-01-04 20:40:00,"A","Check with author"
"244",2018-01-04 21:00:00,"A","Limit"
"245",2018-01-04 21:20:00,"B","Limit"
"246",2018-01-04 21:40:00,"C","No clue"
"247",2018-01-04 22:00:00,"A","Error"
"248",2018-01-04 22:20:00,"B","Warn"
"249",2018-01-04 22:40:00,"B","Attach"
"250",2018-01-04 23:00:00,"A","Check with author"
"251",2018-01-04 23:20:00,"A","Error"
"252",2018-01-04 23:40:00,"C","Warn"
"253",2018-01-05 00:00:00,"B","Check with author"
"254",2018-01-05 00:20:00,"C","No clue"
"255",2018-01-05 00:40:00,"C","Warn"
"256",2018-01-05 01:00:00,"C","No clue"
"257",2018-01-05 01:20:00,"A","Check with author"
"258",2018-01-05 01:40:00,"A","Check with author"
"259",2018-01-05 02:00:00,"C","Debug"
"260",2018-01-05 02:20:00,"C","Debug"
"261",2018-01-05 02:40:00,"B","Error"
"262",2018-01-05 03:00:00,"C","Error"
"263",2018-01-05 03:20:00,"C","Warn"
"264",2018-01-05 03:40:00,"C","Attach"
"265",2018-01-05 04:00:00,"B","Check with author"
"266",2018-01-05 04:20:00,"A","Check with author"
"267",2018-01-05 04:40:00,"A","Check with author"
"268",2018-01-05 05:00:00,"C","No clue"
"269",2018-01-05 05:20:00,"A","Debug"
"270",2018-01-05 05:40:00,"C","Limit"
"271",2018-01-05 06:00:00,"C","Warn"
"272",2018-01-05 06:20:00,"C","Check with author"
"273",2018-01-05 06:40:00,"B","Warn"
"274",2018-01-05 07:00:00,"C","Limit"
"275",2018-01-05 07:20:00,"A","Check with author"
"276",2018-01-05 07:40:00,"C","Limit"
"277",2018-01-05 08:00:00,"A","Check with author"
"278",2018-01-05 08:20:00,"C","No clue"
"279",2018-01-05 08:40:00,"C","Check with author"
"280",2018-01-05 09:00:00,"C","No clue"
"281",2018-01-05 09:20:00,"A","No clue"
"282",2018-01-05 09:40:00,"C","Attach"
"283",2018-01-05 10:00:00,"B","Error"
"284",2018-01-05 10:20:00,"B","Attach"
"285",2018-01-05 10:40:00,"A","Check with author"
"286",2018-01-05 11:00:00,"A","Error"
"287",2018-01-05 11:20:00,"A","Limit"
"288",2018-01-05 11:40:00,"B","Error"
"289",2018-01-05 12:00:00,"B","Error"
"290",2018-01-05 12:20:00,"B","Error"
"291",2018-01-05 12:40:00,"B","Warn"
"292",2018-01-05 13:00:00,"B","Limit"
"293",2018-01-05 13:20:00,"B","Debug"
"294",2018-01-05 13:40:00,"A","Debug"
"295",2018-01-05 14:00:00,"C","Debug"
"296",2018-01-01 12:00:00,"C","Limit"
"297",2018-01-01 12:20:00,"B","Attach"
"298",2018-01-01 12:40:00,"A","Warn"
"299",2018-01-01 13:00:00,"A","Attach"
"300",2018-01-01 13:20:00,"B","No clue"
"301",2018-01-01 13:40:00,"C","Check with author"
"302",2018-01-01 14:00:00,"A","Debug"
"303",2018-01-01 14:20:00,"B","Limit"
"304",2018-01-01 14:40:00,"A","Check with author"
"305",2018-01-01 15:00:00,"A","Limit"
"306",2018-01-01 15:20:00,"C","Debug"
"307",2018-01-01 15:40:00,"A","No clue"
"308",2018-01-01 16:00:00,"B","Warn"
"309",2018-01-01 16:20:00,"A","Limit"
"310",2018-01-01 16:40:00,"A","Check with author"
"311",2018-01-01 17:00:00,"B","Error"
"312",2018-01-01 17:20:00,"A","Warn"
"313",2018-01-01 17:40:00,"C","Attach"
"314",2018-01-01 18:00:00,"A","No clue"
"315",2018-01-01 18:20:00,"A","Limit"
"316",2018-01-01 18:40:00,"B","Attach"
"317",2018-01-01 19:00:00,"A","Limit"
"318",2018-01-01 19:20:00,"C","Debug"
"319",2018-01-01 19:40:00,"A","Warn"
"320",2018-01-01 20:00:00,"C","Check with author"
"321",2018-01-01 20:20:00,"C","Check with author"
"322",2018-01-01 20:40:00,"B","Warn"
"323",2018-01-01 21:00:00,"C","Attach"
"324",2018-01-01 21:20:00,"B","Warn"
"325",2018-01-01 21:40:00,"A","Check with author"
"326",2018-01-01 22:00:00,"C","Limit"
"327",2018-01-01 22:20:00,"B","Error"
"328",2018-01-01 22:40:00,"A","Attach"
"329",2018-01-01 23:00:00,"C","Attach"
"330",2018-01-01 23:20:00,"B","Limit"
"331",2018-01-01 23:40:00,"C","Attach"
"332",2018-01-02 00:00:00,"C","No clue"
"333",2018-01-02 00:20:00,"C","Error"
"334",2018-01-02 00:40:00,"A","Check with author"
"335",2018-01-02 01:00:00,"C","Limit"
"336",2018-01-02 01:20:00,"B","Error"
"337",2018-01-02 01:40:00,"A","No clue"
"338",2018-01-02 02:00:00,"A","Limit"
"339",2018-01-02 02:20:00,"B","Warn"
"340",2018-01-02 02:40:00,"A","Attach"
"341",2018-01-02 03:00:00,"A","Attach"
"342",2018-01-02 03:20:00,"A","Error"
"343",2018-01-02 03:40:00,"A","Attach"
"344",2018-01-02 04:00:00,"A","No clue"
"345",2018-01-02 04:20:00,"C","No clue"
"346",2018-01-02 04:40:00,"A","Debug"
"347",2018-01-02 05:00:00,"C","Debug"
"348",2018-01-02 05:20:00,"C","No clue"
"349",2018-01-02 05:40:00,"B","Limit"
"350",2018-01-02 06:00:00,"C","Attach"
"351",2018-01-02 06:20:00,"B","Check with author"
"352",2018-01-02 06:40:00,"B","Limit"
"353",2018-01-02 07:00:00,"C","Limit"
"354",2018-01-02 07:20:00,"C","Debug"
"355",2018-01-02 07:40:00,"C","Limit"
"356",2018-01-02 08:00:00,"B","Warn"
"357",2018-01-02 08:20:00,"A","Attach"
"358",2018-01-02 08:40:00,"B","Attach"
"359",2018-01-02 09:00:00,"C","Error"
"360",2018-01-02 09:20:00,"B","Attach"
"361",2018-01-02 09:40:00,"A","Attach"
"362",2018-01-02 10:00:00,"A","Warn"
"363",2018-01-02 10:20:00,"A","No clue"
"364",2018-01-02 10:40:00,"B","Check with author"
"365",2018-01-02 11:00:00,"B","Limit"
"366",2018-01-02 11:20:00,"A","Limit"
"367",2018-01-02 11:40:00,"C","Check with author"
"368",2018-01-02 12:00:00,"A","Attach"
"369",2018-01-02 12:20:00,"C","Attach"
"370",2018-01-02 12:40:00,"A","Error"
"371",2018-01-02 13:00:00,"B","Attach"
"372",2018-01-02 13:20:00,"A","Warn"
"373",2018-01-02 13:40:00,"C","Warn"
"374",2018-01-02 14:00:00,"B","Warn"
"375",2018-01-02 14:20:00,"A","Warn"
"376",2018-01-02 14:40:00,"B","Limit"
"377",2018-01-02 15:00:00,"C","Error"
"378",2018-01-02 15:20:00,"B","No clue"
"379",2018-01-02 15:40:00,"A","Limit"
"380",2018-01-02 16:00:00,"C","Check with author"
"381",2018-01-02 16:20:00,"C","Debug"
"382",2018-01-02 16:40:00,"A","Check with author"
"383",2018-01-02 17:00:00,"C","Debug"
"384",2018-01-02 17:20:00,"A","No clue"
"385",2018-01-02 17:40:00,"A","Check with author"
"386",2018-01-02 18:00:00,"A","Warn"
"387",2018-01-02 18:20:00,"A","Debug"
"388",2018-01-02 18:40:00,"B","Error"
"389",2018-01-02 19:00:00,"A","Debug"
"390",2018-01-02 19:20:00,"A","Debug"
"391",2018-01-02 19:40:00,"B","Check with author"
"392",2018-01-02 20:00:00,"C","Warn"
"393",2018-01-02 20:20:00,"B","Warn"
"394",2018-01-02 20:40:00,"A","Warn"
"395",2018-01-02 21:00:00,"C","Warn"
"396",2018-01-02 21:20:00,"B","Warn"
"397",2018-01-02 21:40:00,"A","Warn"
"398",2018-01-02 22:00:00,"A","Check with author"
"399",2018-01-02 22:20:00,"A","Limit"
"400",2018-01-02 22:40:00,"C","Limit"
"401",2018-01-02 23:00:00,"A","No clue"
"402",2018-01-02 23:20:00,"C","Check with author"
"403",2018-01-02 23:40:00,"A","Check with author"
"404",2018-01-03 00:00:00,"B","Check with author"
"405",2018-01-03 00:20:00,"C","Check with author"
"406",2018-01-03 00:40:00,"C","Check with author"
"407",2018-01-03 01:00:00,"A","No clue"
"408",2018-01-03 01:20:00,"A","Warn"
"409",2018-01-03 01:40:00,"C","No clue"
"410",2018-01-03 02:00:00,"C","Check with author"
"411",2018-01-03 02:20:00,"B","Error"
"412",2018-01-03 02:40:00,"A","Limit"
"413",2018-01-03 03:00:00,"B","Debug"
"414",2018-01-03 03:20:00,"B","Check with author"
"415",2018-01-03 03:40:00,"C","Limit"
"416",2018-01-03 04:00:00,"C","Error"
"417",2018-01-03 04:20:00,"A","Check with author"
"418",2018-01-03 04:40:00,"A","Warn"
"419",2018-01-03 05:00:00,"C","Error"
"420",2018-01-03 05:20:00,"B","No clue"
"421",2018-01-03 05:40:00,"A","Warn"
"422",2018-01-03 06:00:00,"C","Attach"
"423",2018-01-03 06:20:00,"B","Attach"
"424",2018-01-03 06:40:00,"C","No clue"
"425",2018-01-03 07:00:00,"C","Attach"
"426",2018-01-03 07:20:00,"C","Limit"
"427",2018-01-03 07:40:00,"A","Debug"
"428",2018-01-03 08:00:00,"A","Check with author"
"429",2018-01-03 08:20:00,"B","Debug"
"430",2018-01-03 08:40:00,"B","Check with author"
"431",2018-01-03 09:00:00,"C","Debug"
"432",2018-01-03 09:20:00,"B","Error"
"433",2018-01-03 09:40:00,"A","Warn"
"434",2018-01-03 10:00:00,"B","Warn"
"435",2018-01-03 10:20:00,"A","No clue"
"436",2018-01-03 10:40:00,"A","Attach"
"437",2018-01-03 11:00:00,"C","Check with author"
"438",2018-01-03 11:20:00,"B","Attach"
"439",2018-01-03 11:40:00,"A","Check with author"
"440",2018-01-03 12:00:00,"A","Limit"
"441",2018-01-03 12:20:00,"B","Limit"
"442",2018-01-03 12:40:00,"A","Debug"
"443",2018-01-03 13:00:00,"B","Error"
"444",2018-01-03 13:20:00,"B","Limit"
"445",2018-01-03 13:40:00,"C","Debug"
"446",2018-01-03 14:00:00,"B","No clue"
"447",2018-01-03 14:20:00,"A","Check with author"
"448",2018-01-03 14:40:00,"C","Warn"
"449",2018-01-03 15:00:00,"C","Attach"
"450",2018-01-03 15:20:00,"A","Attach"
"451",2018-01-03 15:40:00,"A","No clue"
"452",2018-01-03 16:00:00,"B","No clue"
"453",2018-01-03 16:20:00,"C","Limit"
"454",2018-01-03 16:40:00,"C","Warn"
"455",2018-01-03 17:00:00,"B","Debug"
"456",2018-01-03 17:20:00,"C","Warn"
"457",2018-01-03 17:40:00,"C","Attach"
"458",2018-01-03 18:00:00,"A","No clue"
"459",2018-01-03 18:20:00,"B","Error"
"460",2018-01-03 18:40:00,"C","Debug"
"461",2018-01-03 19:00:00,"C","Check with author"
"462",2018-01-03 19:20:00,"C","No clue"
"463",2018-01-03 19:40:00,"B","Attach"
"464",2018-01-03 20:00:00,"B","Debug"
"465",2018-01-03 20:20:00,"C","Attach"
"466",2018-01-03 20:40:00,"B","Warn"
"467",2018-01-03 21:00:00,"B","Debug"
"468",2018-01-03 21:20:00,"A","Warn"
"469",2018-01-03 21:40:00,"B","Debug"
"470",2018-01-03 22:00:00,"A","No clue"
"471",2018-01-03 22:20:00,"B","Debug"
"472",2018-01-03 22:40:00,"B","Warn"
"473",2018-01-03 23:00:00,"B","Attach"
"474",2018-01-03 23:20:00,"B","Check with author"
"475",2018-01-03 23:40:00,"B","Warn"
"476",2018-01-04 00:00:00,"A","Check with author"
"477",2018-01-04 00:20:00,"A","Warn"
"478",2018-01-04 00:40:00,"A","Check with author"
"479",2018-01-04 01:00:00,"A","Limit"
"480",2018-01-04 01:20:00,"C","Error"
"481",2018-01-04 01:40:00,"A","Check with author"
"482",2018-01-04 02:00:00,"A","Warn"
"483",2018-01-04 02:20:00,"C","Error"
"484",2018-01-04 02:40:00,"A","Check with author"
"485",2018-01-04 03:00:00,"B","Attach"
"486",2018-01-04 03:20:00,"C","Debug"
"487",2018-01-04 03:40:00,"A","Limit"
"488",2018-01-04 04:00:00,"C","Attach"
"489",2018-01-04 04:20:00,"A","Debug"
"490",2018-01-04 04:40:00,"A","Debug"
"491",2018-01-04 05:00:00,"A","Error"
"492",2018-01-04 05:20:00,"C","Limit"
"493",2018-01-04 05:40:00,"A","Attach"
"494",2018-01-04 06:00:00,"B","Check with author"
"495",2018-01-04 06:20:00,"C","Attach"
"496",2018-01-04 06:40:00,"C","Attach"
"497",2018-01-04 07:00:00,"B","Check with author"
"498",2018-01-04 07:20:00,"A","Check with author"
"499",2018-01-04 07:40:00,"C","Check with author"
"500",2018-01-04 08:00:00,"B","Debug"
"501",2018-01-04 08:20:00,"A","Debug"
"502",2018-01-04 08:40:00,"A","Check with author"
"503",2018-01-04 09:00:00,"C","Attach"
"504",2018-01-04 09:20:00,"A","Check with author"
"505",2018-01-04 09:40:00,"C","No clue"
"506",2018-01-04 10:00:00,"C","Warn"
"507",2018-01-04 10:20:00,"B","Check with author"
"508",2018-01-04 10:40:00,"C","Debug"
"509",2018-01-04 11:00:00,"B","Attach"
"510",2018-01-04 11:20:00,"B","Warn"
"511",2018-01-04 11:40:00,"C","Warn"
"512",2018-01-04 12:00:00,"B","Error"
"513",2018-01-04 12:20:00,"C","Warn"
"514",2018-01-04 12:40:00,"B","Error"
"515",2018-01-04 13:00:00,"A","Error"
"516",2018-01-04 13:20:00,"B","Attach"
"517",2018-01-04 13:40:00,"B","Warn"
"518",2018-01-04 14:00:00,"B","No clue"
"519",2018-01-04 14:20:00,"B","Attach"
"520",2018-01-04 14:40:00,"A","Check with author"
"521",2018-01-04 15:00:00,"B","Limit"
"522",2018-01-04 15:20:00,"B","Debug"
"523",2018-01-04 15:40:00,"A","Attach"
"524",2018-01-04 16:00:00,"B","Attach"
"525",2018-01-04 16:20:00,"B","Check with author"
"526",2018-01-04 16:40:00,"C","Check with author"
"527",2018-01-04 17:00:00,"B","Attach"
"528",2018-01-04 17:20:00,"A","Attach"
"529",2018-01-04 17:40:00,"C","Debug"
"530",2018-01-04 18:00:00,"C","Attach"
"531",2018-01-04 18:20:00,"B","Limit"
"532",2018-01-04 18:40:00,"C","Debug"
"533",2018-01-04 19:00:00,"A","Warn"
"534",2018-01-04 19:20:00,"A","No clue"
"535",2018-01-04 19:40:00,"B","No clue"
"536",2018-01-04 20:00:00,"A","Debug"
"537",2018-01-04 20:20:00,"C","Warn"
"538",2018-01-04 20:40:00,"B","Warn"
"539",2018-01-04 21:00:00,"A","Debug"
"540",2018-01-04 21:20:00,"C","Debug"
"541",2018-01-04 21:40:00,"B","Warn"
"542",2018-01-04 22:00:00,"B","No clue"
"543",2018-01-04 22:20:00,"B","Attach"
"544",2018-01-04 22:40:00,"A","Debug"
"545",2018-01-04 23:00:00,"A","Debug"
"546",2018-01-04 23:20:00,"A","Attach"
"547",2018-01-04 23:40:00,"C","Check with author"
"548",2018-01-05 00:00:00,"B","Debug"
"549",2018-01-05 00:20:00,"C","Check with author"
"550",2018-01-05 00:40:00,"B","Warn"
"551",2018-01-05 01:00:00,"A","Limit"
"552",2018-01-05 01:20:00,"C","No clue"
"553",2018-01-05 01:40:00,"C","Check with author"
"554",2018-01-05 02:00:00,"C","Error"
"555",2018-01-05 02:20:00,"A","Check with author"
"556",2018-01-05 02:40:00,"B","Debug"
"557",2018-01-05 03:00:00,"A","No clue"
"558",2018-01-05 03:20:00,"C","Warn"
"559",2018-01-05 03:40:00,"C","Warn"
"560",2018-01-05 04:00:00,"C","No clue"
"561",2018-01-05 04:20:00,"B","Check with author"
"562",2018-01-05 04:40:00,"A","Limit"
"563",2018-01-05 05:00:00,"B","Attach"
"564",2018-01-05 05:20:00,"A","Debug"
"565",2018-01-05 05:40:00,"C","No clue"
"566",2018-01-05 06:00:00,"B","Error"
"567",2018-01-05 06:20:00,"C","Attach"
"568",2018-01-05 06:40:00,"C","Debug"
"569",2018-01-05 07:00:00,"C","Debug"
"570",2018-01-05 07:20:00,"B","Debug"
"571",2018-01-05 07:40:00,"A","No clue"
"572",2018-01-05 08:00:00,"C","Warn"
"573",2018-01-05 08:20:00,"B","Debug"
"574",2018-01-05 08:40:00,"A","Debug"
"575",2018-01-05 09:00:00,"B","Error"
"576",2018-01-05 09:20:00,"C","Check with author"
"577",2018-01-05 09:40:00,"A","Check with author"
"578",2018-01-05 10:00:00,"A","Debug"
"579",2018-01-05 10:20:00,"C","Error"
"580",2018-01-05 10:40:00,"C","Debug"
